n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar
7,4,3,0,0.9244,0.0756,0.07099999999999995,-1.9603,-1.8893,0.9244,0.9972618476763759
7,4,3,3,1.0,0.0,0.15569999999999995,-1.3131,-1.1574,1.0,1.0
7,4,3,4,0.99995,5e-05,0.2109000000000001,-1.7001,-1.4891999999999999,0.99995,0.9999933974472089
7,4,3,5,1.0,0.0,0.4416,-1.6183,-1.1767,1.0,1.0
7,4,3,6,1.0,0.0,0.0927,-1.7772000000000001,-1.6845,1.0,0.9999999999999999
7,4,3,7,0.9905,0.0093,0.0928,-1.453,-1.3602,0.9905,0.9993638747419135
7,4,3,9,0.89375,0.1038,0.08409999999999984,-1.9137,-1.8296000000000001,0.89375,0.9951924204420757
7,4,3,10,0.7572,0.24275,0.0039000000000000146,-1.7178,-1.7139,0.24275,0.9982635667714519
7,4,3,11,0.99265,0.0071,0.27559999999999985,-2.9684999999999997,-2.6929,0.99265,0.9992683038571669
7,4,3,12,0.9993,0.00065,0.16290000000000004,-1.4529,-1.29,0.9993,0.999918676440223
7,4,3,13,0.9979,0.00165,0.2012999999999998,-2.3772,-2.1759000000000004,0.9979,0.9996312279151943
7,4,3,15,0.99995,5e-05,0.10240000000000027,-2.2456,-2.1431999999999998,0.99995,0.9999877337905236
7,4,3,17,0.99985,0.00015,0.2721,-1.9179,-1.6458,0.99985,0.9999553887063977
7,4,3,18,0.99985,0.0001,0.3218000000000001,-2.4709000000000003,-2.1491000000000002,0.99985,0.9999781618033916
7,4,3,19,1.0,0.0,0.31149999999999967,-2.3348999999999998,-2.0234,1.0,1.0
7,4,3,20,0.9999,0.0001,0.19389999999999974,-2.4101,-2.2162,0.9999,0.9999919546906766
7,4,3,21,0.99965,0.00035,0.02180000000000004,-1.6177,-1.5958999999999999,0.99965,0.9999545651233231
7,4,3,22,0.78905,0.2029,0.06459999999999999,-1.1904,-1.1258,0.78905,0.9879470178091396
7,4,3,23,0.9484,0.0514,0.09980000000000011,-1.8513000000000002,-1.7515,0.9484,0.9971657916058986
7,4,3,24,0.922,0.07795,0.13649999999999984,-2.1632,-2.0267,0.922,0.9950624029215976
7,4,3,25,0.99985,0.0001,0.40679999999999983,-2.1146,-1.7078,0.99985,0.9999613402061855
7,4,3,26,0.9997,0.00015,0.19500000000000006,-1.4728999999999999,-1.2778999999999998,0.9997,0.999944748455428
7,4,3,27,0.99975,0.0002,0.14500000000000002,-2.638,-2.493,0.99975,0.9999760519332829
7,4,3,28,0.9652,0.02665,0.07769999999999988,-2.0591,-1.9814,0.9652,0.9981866980719734
7,4,3,29,0.8605,0.1395,0.05840000000000023,-2.0501,-1.9916999999999998,0.1395,0.9754874396370908
7,4,3,30,0.7502,0.24965,0.023599999999999843,-1.6945999999999999,-1.671,0.24965,0.989485999645934
7,4,3,31,0.75465,0.24485,0.0686,-1.6456,-1.577,0.75465,0.9895181696645601
7,4,3,32,0.9998,0.0001,0.5514999999999999,-1.8234,-1.2719,0.9998,0.9999272979050126
7,4,3,33,0.99995,5e-05,0.19220000000000015,-2.035,-1.8428,0.99995,0.9999952776412775
7,4,3,34,0.9674,0.03255,0.026699999999999946,-2.035,-2.0083,0.9674,0.9995544742014741
7,4,3,35,0.9971,0.0025,0.12619999999999987,-2.8592,-2.733,0.9971,0.9997588206491327
7,4,3,36,0.99945,0.00045,0.10519999999999996,-1.5023,-1.3971,0.99945,0.9999509618584835
7,4,3,37,0.99995,5e-05,0.27269999999999994,-1.8573,-1.5846,0.99995,0.9999926586981102
7,4,3,39,1.0,0.0,0.23320000000000007,-1.8538000000000001,-1.6206,1.0,0.9999999999999999
7,4,3,40,0.9999,5e-05,0.5264000000000002,-3.0981,-2.5717,0.9999,0.999975673800071
7,4,3,41,0.9985,0.00105,0.03410000000000002,-1.4043999999999999,-1.3702999999999999,0.9985,0.9999200655084023
7,4,3,42,0.99805,0.0019,0.5080000000000005,-2.5817,-2.0736999999999997,0.99805,0.9992527055815935
7,4,3,44,0.99995,5e-05,0.2098,-1.3882,-1.1784000000000001,0.99995,0.9999909811266389
7,4,3,46,0.99985,0.0001,0.1418999999999997,-1.4051999999999998,-1.2633,0.99985,0.9999786258183888
7,4,3,47,0.6439,0.35565,0.09870000000000001,-1.1051,-1.0064,0.6439,0.9681773323681114
7,4,3,48,0.9973,0.00205,0.2674000000000001,-1.9516,-1.6842,0.9973,0.9995337082393934
7,4,3,49,0.99985,0.00015,0.37060000000000004,-1.6061,-1.2355,0.99985,0.999965388207459
7,4,3,50,0.99985,0.0001,0.29389999999999983,-2.1919999999999997,-1.8981,0.99985,0.9999486701642335
7,4,3,51,0.99995,5e-05,0.17869999999999986,-1.5225,-1.3438,0.99995,0.9999941313628901
7,4,3,53,0.97595,0.0205,0.022700000000000164,-1.0072,-0.9844999999999999,0.97595,0.9992293238681492
7,4,3,54,1.0,0.0,0.1722999999999999,-1.916,-1.7437,1.0,1.0
7,4,3,55,0.8224,0.1776,0.06309999999999993,-1.3546999999999998,-1.2915999999999999,0.1776,0.9616937772200488
7,4,3,56,0.54255,0.45735,0.052000000000000046,-1.5746,-1.5226,0.54255,0.9848852915026038
7,4,3,58,0.9993,0.00035,0.6391,-2.6186000000000003,-1.9795000000000003,0.9993,0.9998033338425112
7,4,3,59,0.99295,0.0062,0.17389999999999994,-1.2727,-1.0988,0.99295,0.9990228058458396
7,4,3,60,0.9999,5e-05,0.15980000000000016,-1.8553000000000002,-1.6955,0.9999,0.9999767476957905
7,4,3,62,0.99995,5e-05,0.24029999999999974,-2.1898999999999997,-1.9496,0.99995,0.9999772569523724
7,4,3,63,0.99975,0.00015,0.09129999999999994,-1.5423,-1.451,0.99975,0.9999764799325682
7,4,3,64,0.99935,0.0006,0.04300000000000015,-2.3643,-2.3213,0.99935,0.9998603519011968
7,4,3,65,0.99975,0.00015,0.29559999999999986,-2.8832999999999998,-2.5877,0.99975,0.9999426265043525
7,4,3,66,0.9998,0.0002,0.2829999999999999,-1.9748999999999999,-1.6919,0.9998,0.9999681705402803
7,4,3,67,1.0,0.0,0.3397999999999999,-2.2472,-1.9074,1.0,1.0
7,4,3,68,0.94445,0.05505,0.06459999999999999,-2.2702,-2.2056,0.94445,0.998237703726544
7,4,3,69,0.99975,0.00025,0.3177000000000001,-1.7789000000000001,-1.4612,0.99975,0.9999135982910788
7,4,3,70,1.0,0.0,0.2663,-1.8474,-1.5811,1.0,1.0
7,4,3,72,1.0,0.0,0.4041000000000001,-2.4172000000000002,-2.0131,1.0,1.0
7,4,3,73,0.99995,5e-05,0.3794000000000004,-2.7972,-2.4177999999999997,0.99995,0.999991453953954
