seed,AR_max,succ
841,0.9999875627318352,0.9998
842,0.9987764437314908,0.9846
843,1.0,1.0
844,1.0,1.0
845,0.9999886783867632,0.99995
846,0.9999503821578776,0.99735
847,0.9702824799102971,0.43815
848,0.999361910056832,0.98685
849,0.999987375323236,0.99995
850,0.9988327161378124,0.9871
851,0.9994712039899668,0.98495
852,0.9999942534246576,0.99995
853,1.0,1.0
854,0.9999666062801934,0.99945
855,0.9999616535159976,0.99855
856,0.9999758059803252,0.99985
857,0.9850764917982836,0.1839
858,0.9945217189366128,0.73505
859,0.9995773115647516,0.99385
861,1.0,1.0
862,1.0,1.0
864,0.9999956081642836,0.99995
865,0.9999354049552364,0.99935
868,0.9988903473967288,0.89965
869,0.9797131789237108,0.1897
871,0.9997821194565142,0.99795
873,1.0,1.0
874,1.0,1.0
875,1.0,1.0
878,0.999999716877564,0.99965
881,0.9999940885416666,0.99995
882,1.0,1.0
883,1.0,1.0
885,1.0,1.0
886,1.0,1.0
887,0.9999838356164384,0.99995
888,1.0,1.0
890,0.9999262544243182,0.9986
892,1.0,1.0
893,1.0,1.0
894,0.9999421457064874,0.9997
895,1.0,1.0
896,0.9944333862889762,0.844
897,0.9999975102669404,0.99995
898,1.0,1.0
899,0.9999703062308236,0.99945
900,1.0,1.0
902,1.0,1.0
903,1.0,1.0
904,0.9999832281616688,0.99995
906,0.9999674989931534,0.99965
907,0.9999928195888468,0.99995
908,1.0,1.0
909,0.999081674439768,0.9655
911,1.0,1.0
912,0.999866324911982,0.9651
913,0.9999862623426036,0.9999
914,1.0,1.0
915,1.0,1.0
916,0.9902943230073096,0.8872
917,1.0,1.0
919,0.9961247028069956,0.0152
920,0.9997723348887294,0.999
921,1.0,1.0
923,0.9805455731447876,0.5308
924,1.0,1.0
925,0.999995113838844,0.99995
926,1.0,1.0
928,0.9999967557068864,0.99995
929,1.0,1.0
931,0.999981661626344,0.99985
932,1.0,1.0
933,0.9999782843996494,0.99915
935,0.9999983213429255,0.99995
937,1.0,1.0
938,0.9960316780541132,0.78135
939,1.0,1.0
940,1.0,1.0
941,0.9999955041457232,0.99995
942,1.0,1.0
943,1.0,1.0
945,1.0,1.0
946,1.0,1.0
947,1.0,1.0
948,1.0,1.0
949,1.0,1.0
950,0.9908885493553782,0.77365
951,0.9999968846153844,0.99995
952,1.0,1.0
953,0.9998964346895076,0.9979
956,0.998996523547046,0.8319
957,1.0,1.0
960,0.981458450276243,0.10445
961,0.999895666100976,0.99965
962,0.999993529554853,0.9999
963,0.9846558280913582,0.6054
964,0.9860414618605498,0.72065
965,1.0,1.0
967,1.0,1.0
970,1.0,1.0
971,1.0,1.0
972,1.0,1.0
973,0.9576484260948904,0.42155
975,1.0,1.0
978,0.9999989091548884,0.99995
981,0.9999972184531888,0.9999
982,1.0,1.0
985,0.9999873565454191,0.9999
986,0.9990951242895296,0.9699
988,1.0,1.0
989,1.0,1.0
991,1.0,1.0
992,0.99997969837587,0.9998
993,0.9992935716865295,0.02195
994,1.0,1.0
995,1.0,1.0
