n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar,hp
13,5,4,0,0.8928,0.08685,0.03909999999999991,-3.2504,-3.2113,0.8928,0.997985583312823,2.460880821929078
13,5,4,1,0.99815,0.00135,0.2532000000000001,-3.575,-3.3218,0.99815,0.9997708097902097,1.000000113544969
13,5,4,2,0.82575,0.1742,0.09649999999999981,-2.693,-2.5965000000000003,0.82575,0.993752935388043,1.0980025964045848
13,5,4,3,0.99775,0.00165,0.17969999999999997,-3.0103,-2.8306,0.99775,0.9996285353619241,1.0003268421275981
13,5,4,4,0.9504,0.03345,0.21490000000000054,-3.4995000000000003,-3.2845999999999997,0.9504,0.9964492956136588,1.0000136481599382
13,5,4,5,0.95105,0.04835,0.1442000000000001,-2.7387,-2.5945,0.95105,0.9974142951035162,1.007520700265514
13,5,4,7,0.9823,0.00735,0.18850000000000033,-3.3469,-3.1584,0.9823,0.9975740207356063,1.0001532178648327
13,5,4,8,0.76775,0.2322,0.030899999999999928,-3.0538999999999996,-3.0229999999999997,0.76775,0.997636229084122,1.8192819875673865
13,5,4,9,0.99415,0.0025,0.17969999999999997,-3.5433000000000003,-3.3636000000000004,0.99415,0.9988057926226965,1.0003180208177551
13,5,4,10,0.9999,5e-05,0.15020000000000033,-3.7193,-3.5690999999999997,0.9999,0.9999816228860271,1.0035987516029634
13,5,4,11,0.52785,0.3041,0.04230000000000045,-3.9212000000000002,-3.8789,0.52785,0.9941119988778946,2.037725883272254
13,5,4,12,0.99875,0.00095,0.1418999999999997,-4.4813,-4.3394,0.99875,0.9999485439493004,1.0065907109376466
13,5,4,13,0.83195,0.168,0.21479999999999988,-2.7133,-2.4985,0.83195,0.9866943518962149,1.0000172325624126
13,5,4,15,0.75195,0.248,0.06869999999999976,-3.0666,-2.9979000000000005,0.75195,0.9905535462727452,1.349230840886365
13,5,4,16,1.0,0.0,0.09440000000000026,-2.4324000000000003,-2.338,1.0,1.0,1.2111220788955372
13,5,4,17,0.99905,0.0009,0.16890000000000027,-3.4184,-3.2495,0.99905,0.9998501521179499,1.0008123912609936
13,5,4,18,0.5135,0.3278,0.03739999999999988,-3.173,-3.1356,0.3278,0.9864950520012606,1.755419537195424
13,5,4,19,0.9993,0.00055,0.26960000000000006,-3.0436,-2.774,0.9993,0.9999279504534104,1.000000013377838
13,5,4,20,0.9974,0.00165,0.05740000000000034,-3.5282,-3.4707999999999997,0.9974,0.9998526047276228,1.4398315752707147
13,5,4,21,0.9363,0.0284,0.05069999999999997,-3.5178999999999996,-3.4671999999999996,0.9363,0.9986447539725407,1.8945220077564526
13,5,4,22,0.99995,5e-05,0.15669999999999984,-3.6743999999999994,-3.5176999999999996,0.99995,0.9999926355323318,1.002249950052355
13,5,4,23,0.99865,0.00135,0.08870000000000022,-3.6479,-3.5591999999999997,0.99865,0.9998374256421502,1.279789731874868
13,5,4,26,0.99715,0.0028,0.04919999999999991,-3.1506,-3.1014,0.99715,0.9999539738462514,1.5520577706839402
13,5,4,27,0.94725,0.0527,0.08220000000000027,-2.854,-2.7718,0.94725,0.9984697827610372,1.1853769721037164
13,5,4,28,0.9994,0.0005,0.19890000000000008,-3.8017000000000003,-3.6028000000000002,0.9994,0.999946988189494,1.0000518389295818
13,5,4,29,0.74315,0.2566,0.023600000000000065,-3.0153999999999996,-2.9917999999999996,0.2566,0.9937781587849043,2.7295751696674126
13,5,4,30,0.99955,0.0002,0.046699999999999964,-3.3851,-3.3384,0.99955,0.9999237880712534,2.0417002534662982
13,5,4,31,0.9998,0.0001,0.07069999999999999,-2.3040999999999996,-2.2333999999999996,0.9998,0.9999758040015624,1.2910880056050564
13,5,4,33,0.8037,0.1752,0.05569999999999986,-3.1093,-3.0536000000000003,0.8037,0.9957843775126235,1.4655097916259319
13,5,4,34,0.9999,0.0001,0.005700000000000038,-3.5902,-3.5845,0.0,0.998397178430171,1.991928743036934
13,5,4,35,0.99005,0.00705,0.3258000000000001,-4.2942,-3.9684,0.99005,0.9991717409529135,1.0000000000031741
13,5,4,36,0.98355,0.01625,0.2924000000000002,-3.1526,-2.8602,0.98355,0.9984683007676204,1.0000000005474585
13,5,4,37,0.99395,0.00605,0.07240000000000002,-3.6723,-3.5999,0.99395,0.9998807232524577,1.2705353091714864
13,5,4,38,0.9979,0.0007,0.09119999999999973,-4.3065,-4.2153,0.9979,0.9998386462324392,1.125607014807355
13,5,4,41,0.97745,0.01955,0.1238999999999999,-2.8362,-2.7123,0.97745,0.9989235085678019,1.0217461586847048
13,5,4,42,0.99755,0.00235,0.16710000000000003,-3.1528,-2.9857,0.99755,0.9998503187642729,1.0017234391196617
13,5,4,43,0.9993,0.0007,0.10560000000000036,-3.1976,-3.0919999999999996,0.9993,0.9999719133099825,1.0819157150115104
13,5,4,45,0.59885,0.3902,0.005399999999999849,-2.3979,-2.3925,0.0051,0.9934676925643272,3.8341899470539733
13,5,4,46,0.8305,0.16195,0.05699999999999994,-2.9072999999999998,-2.8503,0.8305,0.9963602173838269,1.4503349253971451
13,5,4,49,0.45505,0.30355,0.005700000000000038,-3.4576,-3.4518999999999997,0.30355,0.9915443602498847,3.1921258287482246
13,5,4,50,1.0,0.0,0.29390000000000027,-2.7328,-2.4389,1.0,1.0,1.0000000004396095
13,5,4,51,0.999,0.0004,0.05799999999999983,-2.2538,-2.1958,0.999,0.9999359393025113,1.4358893271681075
13,5,4,53,1.0,0.0,0.03500000000000014,-3.3337000000000003,-3.2987,1.0,0.9999999999999999,1.737757727192581
13,5,4,55,0.99225,0.00665,0.020500000000000185,-3.8536,-3.8331,0.00665,0.9946063109819387,1.9085564622196411
13,5,4,56,0.9265,0.0724,0.0007999999999999119,-2.4877000000000002,-2.4869000000000003,0.0724,0.9996707480805562,4.098390434721153
13,5,4,57,1.0,0.0,0.3239000000000001,-3.3698,-3.0459,1.0,1.0,1.0000000000043185
13,5,4,58,0.55085,0.4477,0.02059999999999995,-2.8506,-2.83,0.4477,0.9959315582684348,1.9941293537925227
