n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar
7,4,3,0,0.7471,0.25285,0.07099999999999995,-1.9603,-1.8893,0.7471,0.9908319211345205
7,4,3,3,0.99995,5e-05,0.15569999999999995,-1.3131,-1.1574,0.99995,0.9999920683877846
7,4,3,4,0.9998,0.00015,0.2109000000000001,-1.7001,-1.4891999999999999,0.9998,0.9999722457502502
7,4,3,5,0.99995,5e-05,0.4416,-1.6183,-1.1767,0.99995,0.9999776957300871
7,4,3,6,0.9915,0.0084,0.0927,-1.7772000000000001,-1.6845,0.9915,0.9995495892415035
7,4,3,7,0.8979,0.10185,0.0928,-1.453,-1.3602,0.8979,0.9934436682725396
7,4,3,9,0.64575,0.3539,0.08409999999999984,-1.9137,-1.8296000000000001,0.64575,0.9844078225427182
7,4,3,10,0.85595,0.14355,0.0039000000000000146,-1.7178,-1.7139,0.14355,0.9978922808243103
7,4,3,11,0.5035,0.4965,0.27559999999999985,-2.9684999999999997,-2.6929,0.4965,0.9532543035202966
7,4,3,12,0.6869,0.25575,0.16290000000000004,-1.4529,-1.29,0.6869,0.9624630119072201
7,4,3,13,0.53655,0.40495,0.2012999999999998,-2.3772,-2.1759000000000004,0.53655,0.9529735108531047
7,4,3,15,0.99995,5e-05,0.10240000000000027,-2.2456,-2.1431999999999998,0.99995,0.9999977199857497
7,4,3,17,0.9998,0.0002,0.2721,-1.9179,-1.6458,0.9998,0.9999405182751968
7,4,3,18,0.99755,0.0022,0.3218000000000001,-2.4709000000000003,-2.1491000000000002,0.99755,0.9996166619450404
7,4,3,19,0.99995,5e-05,0.31149999999999967,-2.3348999999999998,-2.0234,0.99995,0.9999907126643541
7,4,3,20,0.99615,0.0036,0.19389999999999974,-2.4101,-2.2162,0.99615,0.9996369383013153
7,4,3,21,0.99965,0.00035,0.02180000000000004,-1.6177,-1.5958999999999999,0.99965,0.9999952834270878
7,4,3,22,0.57865,0.32835,0.06459999999999999,-1.1904,-1.1258,0.57865,0.9701300991263442
7,4,3,23,0.7394,0.2601,0.09980000000000011,-1.8513000000000002,-1.7515,0.7394,0.9858094744233781
7,4,3,24,0.5496,0.45035,0.13649999999999984,-2.1632,-2.0267,0.5496,0.9715636048446745
